Tag1,Tag2,Num_Occurrence
china,silver,1
divination,quran,1
monsanto,politics,1
environment,recycling,4
psychiatry,taxes,1
diabetes,sleep,1
mortality,russia,2
marketing,mobile-phones,2
acne,environmental-health,1
europe,gender,1
children,mathematics,1
criminology,music,3
mortality,suffocation,3
electronics,history-of-science,1
cancer,tea,1
history,weapons,8
malware,mobile-phones,1
sound,zoology,2
female-genital-mutilation,quotes,1
plants,toxicology,2
history,marijuana,2
hacking,jews,1
disease,medications,1
astronomy,pregnancy,1
meteorology,zoology,1
military,space-flight,2
environment,russia,1
road-vehicles,television,1
disease,flu,1
sexuality,ukraine,1
ophthalmology,reading,4
alternative-medicine,antibiotic-resistance,1
pakistan,water,1
female-genital-mutilation,organized-crime,1
art,law,1
united-kingdom,united-states,6
anatomy,urine,1
common-cold,placebo,1
fire,fossil-fuel,1
hillary-clinton,isis,1
government,soviet-union,2
books,history,3
alcohol,guns,1
dogs,memory,1
energy,lifestyle,1
marketing,persuasion,2
mcdonalds,united-states,3
dolphins,law,1
cryptozoology,video,1
education,intelligence,7
criminology,sociology,6
physics,video,5
discrimination,intelligence,1
economics,history,22
media,sport,1
ethology,language,2
bicycles,physiology,1
honey,livestrong,1
greece,war,1
environment,traffic,1
criminology,weapons,3
astronomy,ufo,2
cia,recreational-drugs,3
culture,games,1
art,sexuality,1
marriage,sexuality,6
environmental-health,nutritional-supplements,1
agriculture,vegetarianism,1
terrorism,united-states,26
neurology,perception,2
criminology,donald-trump,2
aging,beauty,2
albert-einstein,physics,1
dentistry,vitamins,1
honey,medical-science,6
mortality,pain,1
cancer,marriage,1
depression,weight-loss,1
minerals,water,1
population,productivity,1
germany,nazi-germany,3
mars,military,1
ethology,nutrition,2
isis,saudi-arabia,1
barack-obama,marijuana,1
cognitive-science,music,2
advertising,antisemitism,1
employment,smoking,1
refugees,sexual-abuse,1
pakistan,united-states,1
nutrition,safety,16
chess,games,1
alternative-medicine,herbalism,9
africa,religion,1
discrimination,psychology,1
aviation,physiology,1
activism,media,1
politics,sweden,2
china,physiology,1
education,sport,1
egypt,sexuality,1
astronomy,climatology,2
aviation,battery,1
islam,netherlands,2
environment,united-states,10
radiation,television,1
movies,zoology,1
hygiene,water,3
germany,government,1
consumer-products,marketing,10
india,world-war-i,1
japan,zoology,4
genetics,religion,1
gender,history,2
medical-science,survival,1
islam,slavery,1
history,propaganda,1
religion,religious-texts,22
air,consumer-products,1
gender,work,2
