Tag1,Tag2,Num_Occurrence
go,kifu,2
antike,openings,1
avalon-hill,pricing,1
saboteur,saboteur-2,2
axis-and-allies,axis-and-allies-mini,1
etiquette,rummy,1
deck-building,playing-cards,1
mahjong,riichi-mahjong,11
balance,house-rules,9
diplomacy,recommendations,2
probability,risk-legacy,1
eldritch-horror-mountains-madness,eldritch-horror-under-the-pyramids,1
button-men,probability,1
magic-the-gathering,mtg-commander-damage,8
poker-texas-holdem,split,1
carcassonne,carcassonne-catapult,2
pinochle,terminology,1
catan,catan-explorers-pirates,1
elder-sign,mansions-of-madness,1
khet,openings,1
openings,positional-judgement,1
carcassonne,scoring,1
bidding,bridge,106
miniatures,zod,1
dungeon-run,tactics,1
catan,monopoly,2
modelling,warhammer-40k,1
dice,risk-express,1
bidding,euchre,1
mtg-commander,mtg-planeswalkers,1
barbarian-prince,statistics,3
cosmic-encounter,diplomacy,1
playing-cards,terminology,1
house-rules,small-world,1
poker-texas-holdem,terminology,1
pit,variants,1
go,ko,9
online,pathfinder-adventure,1
citadels,house-rules,3
arkham-horror,expansions,3
go,positional-judgement,1
expansions,pandemic-in-the-lab,1
castle-ravenloft,dnd-adventure-system,5
magic-the-gathering,shuffling,5
archipelago,archipelago-solo-exp,2
board-size,game-design,4
innistrad,magic-the-gathering,3
handicap,kids,1
house-rules,werewolf,2
playing-cards,tactics,1
arkham-horror,game-accessories,2
expansions,magic-the-gathering,2
probability,statistics,5
edition-comparison,expansions,1
board-size,othello,1
hanabi,house-rules,1
etiquette,warhammer-fantasy,1
dnd-adventure-system,variants,1
magic-the-gathering,mtg-two-headed-giant,18
illuminati,recommendations,1
cheating,game-design,2
chess,notation,2
empire-builder,variants,1
dominion,playing-cards,2
puerto-rico,san-juan,2
etiquette,magic-the-gathering,3
board-size,chess,1
bridge,ethics,4
game-development,storage,1
online,phase-10,1
dominion,dominion-empires,1
chinese-checkers,history,1
catan,catan-cities-and-knights,26
balance,risk,1
magic-the-gathering,mtg-cube,7
game-development,risk,1
agricola,agricola-farmers-of-the-moor,4
counting,seki,1
board-game-adaptations,game-theory,1
balance,ticket-to-ride,1
game-design,icehouse,1
elder-sign,house-rules,1
playing-cards,probability,2
invasion,joseki,1
agricola,bohnanza,1
edition-comparison,variants,1
luck,magic-the-gathering,2
mechanics,space-alert,1
bidding,teaching,1
party,scattergories,1
cooperation,dungeon-run,1
bridge,recommendations,1
mechanics,prototyping,2
house-rules,machi-koro,1
components,puerto-rico,1
magic-the-gathering,stack,37
ethics,etiquette,1
age-of-steam,steam,2
bridge,scoring,4
catan,storage,1
accessibility,casino,1
basing,warhammer-fantasy,1
go,house-rules,1
cooperation,star-realms,1
bridge,notation,1
expansions,stone-age,1
game-design,scrabble,1
boss-monster,house-rules,1
bidding,spades,1
custom-game-pieces,prototyping,3
end-game,shithead,1
axis-and-allies,edition-comparison,1
nanuk,scoring,1
game-accessories,game-design,3
starcraft,variants,1
go,history,4
playing-cards,tarot,2
history,scrabble,1
epaminondas,puzzles,1
dice,recommendations,1
custom-game-pieces,edition-comparison,1
dominion,dominion-seaside,14
talisman,variants,1
checkers,chess,1
arkham-horror,balance,2
hearts,probability,1
card-rarity,megaman-nt-warrior-tcg,1
carcassonne,custom-game-pieces,1
counting,openings,1
do-it-yourself,game-design,1
chess,computers,1
backgammon,probability,3
playing-cards,random,2
accessibility,recommendations,1
game-development,prototyping,3
doomtown-reloaded,legend-of-the-five-rings,1
game-development,playing-cards,3
house-rules,openings,2
18xx,house-rules,1
orks,warhammer-40k,5
betting,mahjong,1
counting,end-game,1
components,potion-explosion,1
game-accessories,recommendations,1
play-time,thunderstone,1
pandemic,statistics,1
mtg-drafting,online,1
house-rules,warhammer-fantasy,2
dominion,expansions,2
dice,random,1
house-rules,stone-age,1
dominion,openings,1
betting,house-rules,2
probability,yu-gi-oh,3
house-rules,trivial-pursuit,1
computer-ai,go,10
dice,game-development,1
dominion,dominion-dark-ages,17
cows-and-bulls,game-design,1
game-accessories,power-grid,1
pandemic-in-the-lab,pandemic-on-the-brink,1
game-of-thrones,variants,1
history,uno,1
catan,eclipse,1
magic-the-gathering,metagame,1
railroad,steam,1
computers,scrabble,2
ascension,deck-building,4
custom-game-pieces,playing-cards,4
king-of-tokyo,king-of-tokyo-power-up,4
crayon-rail-games,game-accessories,1
catan,teaching,1
game-development,mechanics,2
dominion-dark-ages,dominion-intrigue,2
board-game-adaptations,cluedo,1
pachisi,parcheesi,1
mahjong,yaku,2
go,handicap,5
agricola,le-havre,1
arkham-horror,arkham-horror-miskatonic-horror,2
online,san-juan,1
bridge,tactics,7
components,risk-legacy,1
house-rules,playing-cards,1
luck,stone-age,1
android-netrunner,tournament,2
dungeon,mechanics,2
go,joseki-deviation,9
handicap,sheepshead,1
handicap,magic-the-gathering,1
magic-the-gathering,mtg-drafting,39
bohnanza,house-rules,1
house-rules,shadows-of-brimstone,1
go,variants,2
etiquette,fury-of-dracula,1
playing-cards,shuffling,8
hex-hex,house-rules,1
milk-caps,terminology,1
catan,probability,1
game-theory,psychology,1
game-design,metagame,2
blackjack,teaching,1
dixit,two-player,1
edition-comparison,unexploded-cow,1
cosmic-encounter,game-design,1
the-captain-is-dead,the-captain-is-dead-adrift,1
custom-game-pieces,puerto-rico,1
bridge,go,1
chrononauts,edition-comparison,1
risk,risk-legacy,2
ticket-to-ride,ticket-to-ride-alvin-and-dexter,1
luck,race-for-the-galaxy,1
sushi-go,sushi-go-party,1
catan,recommendations,3
american-megafauna,bios-megafauna,2
chess,openings,13
ticket-to-ride,ticket-to-ride-new-york,1
magic-the-gathering,terminology,11
game-accessories,warhammer-40k,1
magic-the-gathering,pricing,6
dominion,recommendations,3
game-accessories,playing-cards,4
magic-the-gathering,teaching,3
board-game-adaptations,werewolf,1
machi-koro,variants,1
dice,do-it-yourself,1
elixir,reference,1
mtg-color-identity,mtg-double-faced-cards,1
catan,dominion,1
statistics,the-resistance-avalon,1
catan-cities-and-knights,catan-traders-and-barbarians,3
catan,simply-catan,1
poker,terminology,2
custom-game-pieces,ticket-to-ride,2
mtg-commander,mtg-multiplayer,7
card-rarity,mtg-commander,1
online,scoring,1
miniatures,warhammer-fantasy,1
expansions,ticket-to-ride,1
house-rules,power-grid,3
random,shuffling,3
carcassonne,house-rules,8
extension,invasion,1
magic-the-gathering,mtg-frontier,1
game-design,trading,1
love-letter,recommendations,1
epigo,openings,1
mtg-competitive-rel,mtg-modern,1
dominion-cornucopia,dominion-dark-ages,1
agricola,storage,1
history,mtg-history,2
small-world,small-world-underground,6
magic-the-gathering,mtg-indestructible,15
poker,psychology,1
dixit,dixit-odyssey,1
house-rules,sheepshead,1
custom-game-pieces,eclipse,1
card-sleeves,playing-cards,1
dominion,dominion-alchemy,14
chess,psychology,1
advanced-civilization,house-rules,1
scrabble,tournament,1
dice,mechanics,3
joseki-deviation,leela,1
go,online,4
game-design,play-time,1
agricola,thematic-content,1
deck-building,mtg-competitive-rel,1
arkham-horror,arkham-horror-dunwich-horror,5
cards-against-humanity,playing-cards,1
domineering,othello,1
card-sleeves,struggle-for-catan,1
arkham-horror,arkham-horror-the-king-in-yellow,2
revolution,revolution-anarchy,1
magic-the-gathering,mtg-manabase,21
zombicide,zombicide-black-plague,5
kifu,study,2
computers,go,3
game-of-thrones,tactics,1
catan,power-grid,1
bidding,statistics,1
game-design,legal,1
deck-building,mtg-commander,5
boggle,dice,1
edition-comparison,yomi,1
arkham-horror,arkham-horror-curse-of-dark-pharaoh,7
junta,teaching,1
tyranids,warhammer-40k,3
edition-comparison,khet,1
bridge,statistics,1
basing,warhammer-40k,3
backgammon,house-rules,1
warhammer-40k,warhammer-fantasy,4
empire-builder,house-rules,1
play-time,small-world,1
balance,expansions,1
eldritch-horror,expansions,2
game-design,risk,1
magic-the-gathering,mtg-modern,11
3d-chess,game-development,1
computer-ai,haggis,1
citadels,reference,1
deck-building,expansions,2
chess,tactics,2
scoring,statistics,1
variants,whist,1
cooperation,game-design,3
game-development,metagame,1
mtg-cube,mtg-manabase,1
card-rarity,magic-the-gathering,4
online,vassal,2
catan,catan-seafarers,26
etiquette,riichi-mahjong,1
dominion-dark-ages,dominion-seaside,2
handicap,rank,1
mtg-commander,mtg-double-faced-cards,2
mtg-professional-rel,mtg-regular-rel,1
board-game-adaptations,game-development,1
dominion,dominion-cornucopia,4
scoring,sheriff-of-nottingham,1
components,diplomacy,2
cooperation,tactics,1
puerto-rico,recommendations,1
dominion,tactics,1
history,monopoly,1
mechanics,robo-rally,1
play-time,space-hulk,1
game-of-thrones,game-theory,1
magic-the-gathering,puzzles,3
computer-ai,ko,1
canasta,hand-and-foot,1
prototyping,rorys-story-cubes,1
neuroshima-hex,storage,1
two-player,variants,1
cards-against-humanity,custom-game-pieces,2
coup,the-resistance,1
house-rules,twilight-imperium,2
counting,go,7
house-rules,shuffling,1
flash-point,house-rules,1
dominion,dominion-prosperity,26
balance,flash-point,1
handicap,teaching,1
custom-game-pieces,print-and-play,2
house-rules,thematic-content,1
notation,terminology,1
history,rummikub,1
catan,tournament,1
mtg-commander,mtg-manabase,2
mechanics,thunderbolt-apache-leader,1
farkle,statistics,1
computer-ai,openings,1
axis-and-allies,openings,6
backgammon,end-game,1
house-rules,mechanics,1
pokemon,yu-gi-oh,2
battlestar-galactica,recommendations,1
cheating,house-rules,1
game-design,psychology,1
identify-this-game,rummy,3
seki,tsumego,1
deck-building,mtg-multiplayer,3
playing-cards,poker-texas-holdem,1
openings,statistics,1
magic-the-gathering,tournament,13
deck-building,mtg-drafting,3
balance,puerto-rico,1
edition-comparison,talisman,1
board-game-geek,history,1
chess,handicap,1
deck-building,netrunner-ccg,1
dark-moon,identify-this-game,1
probability,skat,1
forbidden-island,statistics,1
custom-game-pieces,warhammer-40k,1
expansions,legal,1
magic-the-gathering,online,3
luck,monopoly,1
computer-ai,risk,1
game-design,variants,1
game-design,monopoly,1
custom-game-pieces,variants,1
betrayal-at-house-on-the-hill,betrayal-widows-walk,4
deck-building,dominion,1
playing-cards,pokemon,2
game-design,print-and-play,2
casino,etiquette,1
party,recommendations,1
house-rules,mansions-of-madness,1
fluxx,skill,1
hanabi,pandemic,1
expansions,twilight-imperium,1
bidding,ethics,1
house-rules,jamaica,1
arkham-horror,edition-comparison,1
betting,blackjack,1
eldritch-horror,eldritch-horror-mountains-madness,7
kill-doctor-lucky,save-doctor-lucky,1
game-theory,go,1
house-rules,trading,3
axis-and-allies,play-time,1
online,party,1
catan-cities-and-knights,components,1
magic-the-gathering,mtg-history,6
7-wonders-duel,expansions,1
etiquette,tournament,1
cribbage,game-design,1
connect-four,nim,1
citadels,edition-comparison,1
18xx,railroad,1
paris-connection,random,1
catan,trading,8
checkers,variants,2
dominion-alchemy,storage,1
go,rank,8
computer-ai,hive,1
dominion,game-accessories,1
mtg-drafting,mtg-manabase,1
magic-the-gathering,priority,7
mancala,openings,1
house-rules,identify-this-game,1
catan-seafarers,catan-traders-and-barbarians,2
prototyping,turn-order,1
chess,identify-this-game,1
diplomacy,teaching,1
arkham-horror,mansions-of-madness,1
game-design,magic-the-gathering,8
copyright,game-development,1
accessibility,splendor,1
pandemic,pandemic-legacy-season-1,5
game-lore,tau,1
house-rules,star-wars-rebellion,1
expansions,talisman,1
civilization-board-game,house-rules,2
catan-card-game,luck,1
dice,game-design,9
balance,computers,1
magic-the-gathering,mulligans,4
axis-and-allies,balance,3
notation,scrabble,1
carcassonne,storage,1
fluxx,history,1
edition-comparison,history,1
bridge,counting,1
deck-building,sealed-deck,1
ko,tsumego,2
house-rules,munchkin-quest,1
belote,house-rules,1
pokemon,recommendations,1
custom-game-pieces,legal,1
game-design,terminology,1
one-night-werewolf,werewolf,2
age-of-steam,railroad,1
mechanics,statistics,1
edition-comparison,monopoly,1
card-sleeves,game-accessories,2
carcassonne,components,2
game-accessories,magic-the-gathering,1
bridge,chess,1
house-rules,monopoly,13
chess,terminology,1
recommendations,teaching,3
end-game,game-design,1
