Tag1,Tag2,Num_Occurrence
betting-strategy,nlhe,15
online,rules,6
omaha,online,1
reading-hands,table-image,1
casino,learning,1
learning,rules,4
gaming-theory,statistics,1
nlhe,raise,1
online,strategy,11
all-in,home-game,1
live,tells,2
holdem-manager,software,1
betting-strategy,live,2
blinds,dealing,1
hud,raise,1
nlhe,range,1
pre-flop,strategy,1
pocket-pair,starting-hand,1
bankroll-management,poker-stars,1
probability,statistics,9
betting-strategy,gaming-theory,1
hand-history,texas-hold-em,22
cheating,dealing,1
probability,software,1
learning,texas-hold-em,9
icm,sit-and-go,1
all-in,casino,1
odds,resources,1
1-2nl,texas-hold-em,5
equity,standard-deviation,1
probability,starting-hand,1
etiquette,live,4
dealing,open-face-chinese,1
nlhe,table-image,2
casino,heads-up,2
learning,no-limit,1
cash-game,etiquette,4
hand-history,nl200,8
let-there-be-range,nlhe,1
rules,tournament,20
poker-theory,software,1
nlhe,skill,1
heads-up,pre-flop,1
home-game,seven-card-stud,1
odds,omaha-hi-lo,1
microstakes,psychology,1
ev,odds,1
hand-history,poker-strategy,2
fold-equity,texas-hold-em,3
poker-theory,side-pots,2
betting-strategy,rush-poker,1
mtt,starting-hand,1
blinds,rules,4
heads-up,nuts,1
bubble,tournament,3
casino,rake,1
books,live,1
nl200,poker-strategy,1
casino,hand-history,1
rules,wsop,8
icm,statistics,1
poker-theory,starting-hand,2
poker-strategy,reading-hands,4
1-2nl,hand-history,2
implied-odds,odds,3
hand-history,nl600,3
etiquette,poker-theory,1
blinds,nlhe,1
trash-talk,wsop,1
hud,poker-stars,1
all-in,cash-game,9
betting-strategy,terminology,1
poker-stars,poker-strategy,1
live,soft-question,1
blinds,texas-hold-em,8
cash-game,rules,8
casino,odds,1
hand,online,1
raise,rules,7
cheating,etiquette,2
equity,poker-theory,1
nlhe,probability,2
betting-position,starting-hand,1
omaha,rush-poker,1
gto,poker-theory,2
all-in,drawing,2
poker-strategy,pre-flop,3
hand-history,online,22
books,online,1
bet-sizing,raise,1
