Tag1,Tag2,Num_Occurrence
classical-mechanics,degrees-of-freedom,30
quantum-field-theory,sigma-models,28
greens-functions,perturbation-theory,8
experimental-physics,superconductivity,16
electric-current,quantum-field-theory,8
carnot-cycle,ideal-gas,5
conservation-laws,homework-and-exercises,240
branes,cosmology,11
pressure,velocity,19
fourier-transform,randomness,1
holographic-principle,quantum-gravity,23
astronomy,classical-mechanics,12
polarization,vectors,5
inertia,photons,5
molecules,software,2
differential-equations,path-integral,2
density-operator,randomness,1
magnetic-moment,rotational-dynamics,2
poincare-symmetry,symmetry,12
definition,electrons,2
equilibrium,time,3
dirac-equation,time-reversal-symmetry,1
quantum-tunneling,terminology,2
diamond,electronic-band-theory,1
education,soft-question,209
born-rule,string,1
calculus,displacement,4
algorithms,meteorology,1
charge,energy-storage,1
camera,general-relativity,1
refraction,scattering,11
atoms,special-relativity,3
electromagnetic-induction,perpetual-motion,2
energy-conservation,special-relativity,44
superposition,vectors,5
air,plasma-physics,5
relativity,time,80
perception,string,1
double-slit-experiment,reference-frames,2
quantum-statistics,representation-theory,1
helicity,homework-and-exercises,4
group-representations,tensors,15
resonance,solar-system,1
electromagnetism,research-level,3
angular-momentum,deformation-quantization,1
electric-circuits,units,3
fermions,ghosts,1
biology,telescopes,1
quarks,rotation,1
nuclear-engineering,scaling,2
binding-energy,newtonian-mechanics,2
dirac-equation,spacetime-dimensions,5
experimental-physics,x-rays,12
earth,oceanography,1
atmospheric-science,ideal-gas,13
meteorology,vector-fields,2
data,experimental-physics,17
solar-cells,sun,1
ion-traps,particle-physics,2
physical-chemistry,statistics,1
energy-conservation,hydrostatics,4
cosmic-microwave-background,photons,10
astrophysics,meteors,3
big-list,energy,1
fourier-transform,solid-state-physics,28
escape-velocity,orbital-motion,22
noise,semiclassical,1
anyons,topological-insulators,5
hydrostatics,thought-experiment,2
ligo,waves,1
electromagnetism,wilson-loop,1
energy-storage,resonance,1
mean-free-path,temperature,1
quantum-field-theory,ward-identity,32
planets,volume,1
coriolis-effect,electromagnetism,2
fusion,kinetic-theory,1
probability,solar-system,1
angular-momentum,solar-system,28
biophysics,mass,3
electromagnetism,higgs-mechanism,1
cold-fusion,condensed-matter,1
electromagnetism,plane-wave,20
atoms,structure-formation,2
soft-question,specific-reference,25
electric-circuits,noise,9
experimental-technique,nuclear-physics,12
singularities,unitarity,1
mathematical-physics,stability,1
free-fall,vacuum,1
approximations,spin-models,1
perpetual-motion,space,1
classical-mechanics,diffraction,3
magnetohydrodynamics,vector-fields,2
linear-algebra,superposition,8
scattering,terminology,12
classical-electrodynamics,unified-theories,1
orbitals,quantum-spin,14
hamiltonian,newtonian-gravity,1
dielectric,electricity,26
biophysics,earth,5
acceleration,material-science,2
pions,time-dilation,1
gauge-invariance,gravity,5
curvature,density,1
astrophysics,neutrinos,32
discrete,special-relativity,9
electromagnetic-radiation,rotational-dynamics,3
navier-stokes,research-level,1
electromagnetism,phase-velocity,6
baryons,neutrons,3
hilbert-space,solid-state-physics,3
binary-stars,milky-way,1
capacitance,material-science,2
bose-einstein-condensate,perturbation-theory,1
material-science,statistical-mechanics,7
everyday-life,gyroscopes,1
causality,scattering-cross-section,1
covariance,units,1
optics,projectile,2
dark-energy,neutron-stars,1
coriolis-effect,parity,1
calculus,homework-and-exercises,78
covariance,diffeomorphism-invariance,9
chemical-potential,electricity,2
sports,stress-strain,1
